date,direction,prev_high,prev_low,hit,hit_time_et,hit_session,minutes_from_open,overshoot_points,overshoot_pct,opposite_hit,day_range_pct,atr_14_pct,range_vs_atr,inside_bar
2024-04-18,SHORT,17968.5,17615.25,True,2024-04-18 09:35:00,NYAM,935.0,433.5,122.72,False,3.3972,1.9163,1.7728,False
2024-04-19,SHORT,17770.75,17181.75,True,2024-04-19 14:38:00,PM,1238.0,68.5,11.63,False,2.5612,2.012,1.273,False
2024-04-25,SHORT,17795.5,17437.5,True,2024-04-25 01:13:00,OTHER,433.0,129.25,36.1,False,2.9221,2.0817,1.4037,False
2024-04-26,SHORT,17827.5,17308.25,False,,,,,,True,1.3077,1.9988,0.6542,False
2024-04-29,SHORT,17913.0,17853.25,True,2024-04-29 09:42:00,NYAM,942.0,62.0,103.77,False,0.8807,1.7575,0.5011,False
2024-05-01,SHORT,17911.75,17453.75,True,2024-05-01 05:08:00,OTHER,668.0,54.5,11.9,False,2.2451,1.8706,1.2002,False
2024-07-25,SHORT,19801.0,19168.75,True,2024-07-25 02:08:00,LONDON,488.0,285.5,45.16,False,2.6595,1.8762,1.4175,False
2024-07-26,SHORT,19390.5,18883.25,False,,,,,,False,1.3428,1.88,0.7143,True
2024-07-30,SHORT,19377.25,19076.0,True,2024-07-30 11:01:00,OTHER,1021.0,351.0,116.51,False,3.1083,1.8705,1.6617,False
2024-08-29,SHORT,19691.0,19140.25,False,,,,,,True,2.1565,1.6236,1.3282,False
2024-09-04,SHORT,19644.75,18825.75,False,,,,,,False,1.5049,1.6891,0.8909,True
2024-09-08,SHORT,18972.25,18339.75,False,,,,,,False,0.8415,1.8285,0.4602,True
2024-12-02,SHORT,21004.0,20941.75,True,2024-12-02 01:35:00,OTHER,455.0,1.75,2.81,False,1.5065,1.1558,1.3034,False
2025-02-25,SHORT,21813.0,21366.5,True,2025-02-25 02:29:00,LONDON,509.0,376.5,84.32,False,2.1727,1.3066,1.6629,False
2025-02-28,SHORT,21386.5,20515.5,True,2025-02-28 09:31:00,NYAM,931.0,55.0,6.31,False,2.3136,1.6286,1.4206,False
2025-03-04,SHORT,21121.0,20316.75,True,2025-03-04 07:28:00,OTHER,808.0,241.5,30.03,False,3.2002,2.0063,1.5951,False
2025-03-07,SHORT,20647.5,20003.0,True,2025-03-07 10:31:00,NYAM,991.0,237.5,36.85,False,2.577,2.4588,1.0481,False
2025-03-11,SHORT,20152.5,19139.25,False,,,,,,False,2.4973,2.8373,0.8802,True
2025-04-04,SHORT,19177.0,18520.0,True,2025-04-04 00:38:00,OTHER,398.0,1132.5,172.37,False,7.3685,2.9454,2.5017,False
2025-04-06,SHORT,18675.75,17387.5,True,2025-04-06 18:00:00,OTHER,1440.0,927.5,72.0,False,3.8073,3.341,1.1396,False
2025-08-25,SHORT,23607.5,23520.5,True,2025-08-25 02:59:00,LONDON,539.0,149.0,171.26,False,1.0437,1.083,0.9637,False
2025-08-26,SHORT,23616.25,23371.5,False,,,,,,True,0.9052,1.1185,0.8093,False
2025-10-01,SHORT,24913.75,24722.25,True,2025-10-01 02:45:00,LONDON,525.0,89.0,46.48,False,1.7685,1.0113,1.7486,False
2025-11-21,SHORT,25310.0,24018.0,True,2025-11-21 05:00:00,OTHER,660.0,113.5,8.78,False,2.841,2.385,1.1912,False
